name,id,type,label,customerId
GKC-A848FA86D8E4-002,0571c980-270f-11ee-bc9b-1d7b9ef08863,Modbus V6 Fan,AB-08 Venti 4,4412d9e0-ab8c-11ec-bcd8-afb5f342d01b
GKC-A848FA87769C-021,074033d0-92c7-11ef-bb66-09a77fdcecde,Thermokon,,4412d9e0-ab8c-11ec-bcd8-afb5f342d01b
98F4AB3E98FC00-027,07b114e0-3f51-11ed-92a7-8bdd170fd177,iNDTact smartPREDICT,SmartPredict Vibration Sensor,b17521f0-35c0-11ed-92a7-8bdd170fd177
GKC-A848FA86D8E4-003,0c7067f0-270f-11ee-bc9b-1d7b9ef08863,Modbus V6 Fan,AB-08 Venti 3,4412d9e0-ab8c-11ec-bcd8-afb5f342d01b
GKC-A848FA870B50-013,0d876b50-2711-11ee-927a-b9de331472ce,Modbus V6 Fan,ZU-10 Venti 1,4412d9e0-ab8c-11ec-bcd8-afb5f342d01b
GKC-A848FA86D8E4-004,16a5ee70-270f-11ee-927a-b9de331472ce,Modbus V6 Fan,AB-08 Venti 2,4412d9e0-ab8c-11ec-bcd8-afb5f342d01b
GKC-A848FA86D6A4-002,1968a1c0-653e-11ef-a750-21d5388cd6ec,Modbus V6 Fan,FanZul2,f6c3e0b0-d61a-11ee-97a1-13eb5634dd40
GKC-A848FA87769C-012,1c44db00-92c2-11ef-b675-81d50ee23e1f,Modbus V6 Fan,ZU-15 Venti 3,4412d9e0-ab8c-11ec-bcd8-afb5f342d01b
GKC-A848FA87769C-011,1c4e9f00-92c2-11ef-b675-81d50ee23e1f,Modbus V6 Fan,ZU-15 Venti 2,4412d9e0-ab8c-11ec-bcd8-afb5f342d01b
GKC-A848FA87769C-010,1c566730-92c2-11ef-b675-81d50ee23e1f,Modbus V6 Fan,ZU-15 Venti 1,4412d9e0-ab8c-11ec-bcd8-afb5f342d01b
GKC-A848FA86D6A4-001,1d4ae500-653e-11ef-a750-21d5388cd6ec,Modbus V6 Fan,FanZul1,f6c3e0b0-d61a-11ee-97a1-13eb5634dd40
GKC-C4DD57B6A65C,2035bf00-b99d-11ec-bcd8-afb5f342d01b,IntelliGateAIR,,69baebe0-b976-11ec-bcd8-afb5f342d01b
GKC-A848FA86D6A4-000,2178d740-653e-11ef-a750-21d5388cd6ec,IntelliGateAIR-X,,f6c3e0b0-d61a-11ee-97a1-13eb5634dd40
GKC-A848FA870B50-002,25327d90-2710-11ee-927a-b9de331472ce,Modbus V6 Fan,AB-10 Venti 8,4412d9e0-ab8c-11ec-bcd8-afb5f342d01b
GKC-A848FA86D8E4-005,28d3dcb0-270f-11ee-bc9b-1d7b9ef08863,Modbus V6 Fan,AB-08 Venti 1,4412d9e0-ab8c-11ec-bcd8-afb5f342d01b
GKC-A848FA86C458,2906b580-4af2-11ed-9a85-43b5866161ae,IntelliGateAIR,,4412d9e0-ab8c-11ec-bcd8-afb5f342d01b
GKC-A848FA86D6A4-003,304889b0-69fc-11ef-a094-81d50ee23e1f,AirGradient ONE,,f6c3e0b0-d61a-11ee-97a1-13eb5634dd40
98F4AB3E98FC00-015,311bf500-35b2-11ed-92a7-8bdd170fd177,Modbus V6 Fan,Fan 15,b17521f0-35c0-11ed-92a7-8bdd170fd177
98F4AB3E98FC00-016,31217340-35b2-11ed-92a7-8bdd170fd177,Modbus V6 Fan,Fan 16,b17521f0-35c0-11ed-92a7-8bdd170fd177
GKC-A848FA870B50-003,322faf90-2710-11ee-bc9b-1d7b9ef08863,Modbus V6 Fan,AB-10 Venti 7,4412d9e0-ab8c-11ec-bcd8-afb5f342d01b
GKC-A848FA880220,32ccc230-8beb-11ef-bb66-09a77fdcecde,IntelliGateAIR,,4412d9e0-ab8c-11ec-bcd8-afb5f342d01b
GKC-A848FA8784F4,33724420-9afe-11ec-bcd8-afb5f342d01b,IntelliGateAIR,,4412d9e0-ab8c-11ec-bcd8-afb5f342d01b
GKC-A848FA8784F4-002,337c2f30-9afe-11ec-bcd8-afb5f342d01b,Modbus V6 Fan,ZU-09 Venti 1,4412d9e0-ab8c-11ec-bcd8-afb5f342d01b
11004100000911-007,37447500-3581-11ed-92a7-8bdd170fd177,Modbus V6 Fan,Fan 07,b17521f0-35c0-11ed-92a7-8bdd170fd177
11004100000911-001,39230300-32a2-11ed-92a7-8bdd170fd177,Modbus V6 Fan,Fan 01,b17521f0-35c0-11ed-92a7-8bdd170fd177
GKC-A848FA87769C-002,3c247f30-92b7-11ef-bb66-09a77fdcecde,Modbus V6 Fan,AB-15 Venti 1,4412d9e0-ab8c-11ec-bcd8-afb5f342d01b
GKC-A848FA8784F4-010,3c8bfa60-9afe-11ec-bcd8-afb5f342d01b,Modbus V5.0 Fan,AB-09 Venti 5,4412d9e0-ab8c-11ec-bcd8-afb5f342d01b
GKC-A848FA8784F4-009,3c8f7cd0-9afe-11ec-bcd8-afb5f342d01b,Modbus V5.0 Fan,AB-09 Venti 4,4412d9e0-ab8c-11ec-bcd8-afb5f342d01b
GKC-A848FA8784F4-008,3c93c290-9afe-11ec-bcd8-afb5f342d01b,Modbus V5.0 Fan,AB-09 Venti 3,4412d9e0-ab8c-11ec-bcd8-afb5f342d01b
GKC-A848FA8784F4-007,3c974500-9afe-11ec-bcd8-afb5f342d01b,Modbus V6 Fan,ZU-09 Venti 4,4412d9e0-ab8c-11ec-bcd8-afb5f342d01b
GKC-A848FA8784F4-006,3c9a0420-9afe-11ec-bcd8-afb5f342d01b,Modbus V5.0 Fan,AB-09 Venti 2,4412d9e0-ab8c-11ec-bcd8-afb5f342d01b
GKC-A848FA8784F4-005,3c9e49e0-9afe-11ec-bcd8-afb5f342d01b,Modbus V6 Fan,ZU-09 Venti 3,4412d9e0-ab8c-11ec-bcd8-afb5f342d01b
GKC-A848FA8784F4-004,3ca17e30-9afe-11ec-bcd8-afb5f342d01b,Modbus V5.0 Fan,AB-09 Venti 1,4412d9e0-ab8c-11ec-bcd8-afb5f342d01b
GKC-A848FA8784F4-003,3ca41640-9afe-11ec-bcd8-afb5f342d01b,Modbus V6 Fan,ZU-09 Venti 2,4412d9e0-ab8c-11ec-bcd8-afb5f342d01b
GKC-A848FA870B50,3d3d4ac0-0c2e-11ee-a50f-b5cb373dcb6a,IntelliGateAIR,,4412d9e0-ab8c-11ec-bcd8-afb5f342d01b
GKC-A848FA870B50-004,3fd6b620-2710-11ee-927a-b9de331472ce,Modbus V6 Fan,AB-10 Venti 6,4412d9e0-ab8c-11ec-bcd8-afb5f342d01b
GKC-A848FA87769C-003,4010ad80-92b7-11ef-bb66-09a77fdcecde,Modbus V6 Fan,AB-15 Venti 2,4412d9e0-ab8c-11ec-bcd8-afb5f342d01b
GKC-A848FA87769C-022,406d5930-92c7-11ef-bb66-09a77fdcecde,Thermokon,,4412d9e0-ab8c-11ec-bcd8-afb5f342d01b
GKC-A848FA87769C-004,4435c620-92b7-11ef-bb66-09a77fdcecde,Modbus V6 Fan,AB-15 Venti 3,4412d9e0-ab8c-11ec-bcd8-afb5f342d01b
GKC-A848FA86D8E4-006,4695f710-270f-11ee-927a-b9de331472ce,Modbus V6 Fan,ZU-08 Venti 1,4412d9e0-ab8c-11ec-bcd8-afb5f342d01b
GKC-A848FA87769C-005,48b66c40-92b7-11ef-bb66-09a77fdcecde,Modbus V6 Fan,AB-15 Venti 4,4412d9e0-ab8c-11ec-bcd8-afb5f342d01b
EC62605E6358,4adb65f0-b471-11ed-9188-71dcc7f44f0f,IntelliGateLTE,,b17521f0-35c0-11ed-92a7-8bdd170fd177
GKC-A848FA87769C-006,4d30f7e0-92b7-11ef-bb66-09a77fdcecde,Modbus V6 Fan,AB-15 Venti 5,4412d9e0-ab8c-11ec-bcd8-afb5f342d01b
98F4AB3E98FC00-009,4d69f920-3506-11ed-92a7-8bdd170fd177,Modbus V6 Fan,Fan 09,b17521f0-35c0-11ed-92a7-8bdd170fd177
98F4AB3E98FC00-011,4d6dc9b0-3506-11ed-92a7-8bdd170fd177,Modbus V6 Fan,Fan 11,b17521f0-35c0-11ed-92a7-8bdd170fd177
98F4AB3E98FC00-012,4d712510-3506-11ed-92a7-8bdd170fd177,Modbus V6 Fan,Fan 12,b17521f0-35c0-11ed-92a7-8bdd170fd177
98F4AB3E98FC00-013,4d7543c0-3506-11ed-92a7-8bdd170fd177,Modbus V6 Fan,Fan 13,b17521f0-35c0-11ed-92a7-8bdd170fd177
